train_size,order_strategy,column_order,dag_used,repetition,categorical,max_corr_difference,mean_corr_difference,propensity_metrics_avg pMSE,propensity_metrics_pMSE err,propensity_metrics_avg acc,propensity_metrics_acc err,k_marginal_tvd
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",7,False,1.9539925233402755e-14,9.251858538542972e-17,0.0023713439098131317,0.0002709980953321522,0.525952816262366,0.00564902157969102,0.09475
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",7,False,1.9539925233402755e-14,6.457797259902994e-15,0.002681161480520343,0.00024366677675757817,0.5321953874657204,0.005889509539179834,0.09391666666666669
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",8,False,1.965094753586527e-14,9.843977485009722e-15,0.0007900595406673322,0.00018894659977252118,0.5183916134445897,0.00801330534651569,0.08175
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",8,False,1.9539925233402755e-14,9.732955182547206e-15,0.00277047869636938,0.00021880481791107103,0.5353926971287193,0.009893663295699535,0.0815
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",8,False,1.965094753586527e-14,6.6058269965196814e-15,0.0008675021003645408,0.00011501672371776322,0.5236079858027678,0.011543692523242534,0.09200000000000001
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",8,False,1.9539925233402755e-14,6.5503158452884236e-15,0.002365839657554742,0.00012840707139984896,0.540392883024106,0.008732484259795874,0.09783333333333334
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",9,False,1.9539925233402755e-14,3.293661639721298e-15,0.001391886054278374,9.618182594979618e-05,0.5286826443086415,0.008219921430818395,0.09533333333333333
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",9,False,1.9539925233402755e-14,9.751458899624291e-15,0.001678197127111641,0.00016982847536671308,0.5251398128538819,0.006751755531764016,0.09733333333333333
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",9,False,1.965094753586527e-14,6.587323279442596e-15,0.0012864999193498085,0.00013587996898526593,0.5146710825218456,0.004603981843158668,0.09308333333333334
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",9,False,1.9539925233402755e-14,6.494804694057166e-15,0.001491863835382665,5.186377432545522e-05,0.5221584102321464,0.005409337024901848,0.09391666666666669
